詞彙（繁）,词汇（简）,漢語拼音,英語,定義,Definitions
注文,注文,zhùwén,annotation text,行間注排版中，標注於行間（原文字詞或語句旁側）以標注發音或釋義的文字。,Interlinear text run indicating pronunciation or definitions.
注音符號,注音符号,zhùyīn fúhào,Zhuyin (Bopomofo),「國語注音符號」及「台灣方音符號」的統稱。,The general name of Mandarin Phonetic Symbols and Taiwanese Phonetic Symbols.
字幅,字幅,zìfú,character advance,字符在行方向上的大小。,Size of a character frame in the inline direction.
字号,字號,zìhào,type size,"区别单个字符大小的表示方法(GB 9851.2-2008, 3.3)",Dimensions of a character.
字距,字距,zìjù,tracking,字符之間的空隙。,The space between characters.
字面,字面,zìmiàn,character face,文字的字身框中，字圖實際分布的空間。,Area in which glyph is drawn.
字體,字体,zìtǐ,typeface,字母、文字或符號的一組集合，一個字體通常有一貫的筆畫與字形風格，用於印刷或螢幕渲染中。,"A set of letters, characters or symbols, which are designed to have coherent patterns to be used for printing or rendering to a computer screen."
字型,字型,zìxíng,font,"具有相同基本设计的字形图像集合(GB/T 16964.1-1997, 3.6)，現多與字體混用。","A set of glyphs with the same design, often referred to as typeface nowadays."
字形,字形,zìxíng,glyph,"一个可辨认的抽象的图形符号，它不依赖于任何特定的设计(GB/T 16964.1-1997, 3.12)","A symbol of identifiable abstraction, depending on no specific design."
縱橫對齊,纵横对齐,zònghéng duìqí,grid alignment,頭尾對齊的前提下，保證各行文字在橫、縱軸二方向皆相互對齊排列於網格中的排版方式。,"The process, under the premise of justification, of arranging characters within grids to make sure that they are aligned in both horizontal and vertical axes."
縱中橫排,纵中横排,zòngzhōnghéngpái,horizontal-in-vertical setting,在直排文本中，將成（小）組的字符橫排插入排版方式。,To typeset a (small) group of characters horizontally within a vertical line of main text.
